objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
kessel_1,1963 Engagements,,1963,This overview of Kessel's 1963 appointments reflects his prolific performance activity in Hollywood circles. Many familiar names and studios appear in this list.,Weekly planners; Hollywood Years; Jazz Artist,,,,LaBudde Special Collections,,Text,image/png,eng,Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/kessel-1963-engagements.jpg,/objects/small/kessel-1963-engagements_sm.jpg,/objects/thumbs/kessel-1963-engagements_th.jpg,Schedule of 1963 engagments,
kessel_2,1964 Engagements,,1964,This overview of Kessel's 1963 appointments reflects his prolific performance activity in Hollywood circles. Many familiar names and studios appear in this list.,Weekly planners; Hollywood Years; Jazz Artist,,,,LaBudde Special Collections,,Text,image/png,eng,Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/kessel-1964-engagements.png,/objects/small/kessel-1964-engagements_sm.png,/objects/thumbs/kessel-1964-engagements_th.png,Schedule of 1964 engagments,
kessel_3,1965 Engagements (January-May),,1965-01,This overview of Kessel's 1965 appointments reflects his prolific performance activity in Hollywood circles. Many familiar names and studios appear in this list.,Day Planners; Hollywood Years; Jazz Artist,,,,LaBudde Special Collections,,Text,image/png,eng,Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/kessel-1965-engagements-jan.jpg,/objects/small/kessel-1965-engagements-jan_sm.jpg,/objects/thumbs/kessel-1965-engagements-jan_th.jpg,Schedule of January-May 1965 engagments,
kessel_4,1965 Engagements (June-October),,1965-06,This overview of Kessel's 1965 appointments reflects his prolific performance activity in Hollywood circles. Many familiar names and studios appear in this list.,Day Planners; Hollywood Years; Jazz Artist,,,,LaBudde Special Collections,,Text,image/png,eng,Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/kessel-1965-engagements-june.png,/objects/small/kessel-1965-engagements-june_sm.png,/objects/thumbs/kessel-1965-engagements-june_th.png,Schedule of June-October 1965 engagments,
kessel_5,1965 Engagements (November-December),,1965-11,This overview of Kessel's 1965 appointments reflects his prolific performance activity in Hollywood circles. Many familiar names and studios appear in this list.,Day Planners; Hollywood Years; Jazz Artist,,,,LaBudde Special Collections,,Text,image/png,eng,Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/kessel-1965-engagements-nov.png,/objects/small/kessel-1965-engagements-nov_sm.png,/objects/thumbs/kessel-1965-engagements-nov_th.png,Schedule of November-December 1965 engagments,
kessel_6,A Note on Music Studies,,1990-04-12,"Barney Kessel frequently wrote short ideas down in his notebook. Often they were related to his goals or ideas for songs or books, but sometimes they were simply memories or thoughts he had. This statement shows his ideas on music and his pedagogy.",Pedagogy,,,,LaBudde Special Collections,,Text,image/png,eng,Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/kessel-note-music-studies.png,/objects/small/kessel-note-music-studies_sm.png,/objects/thumbs/kessel-note-music-studies_th.png,Handwritten note,
kessel_7,All About Jazz Interview,,1992,A short post-1992 interview addressed to Laurence Donohue-Green. Kessel talks about his career with the big bands and various other subjects.,Interview,,,,LaBudde Special Collections,,Text,application/pdf,eng,Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/kessel-all-about-jazz-interview.pdf,/objects/small/kessel-all-about-jazz-interview_sm.pdf,/objects/thumbs/kessel-all-about-jazz-interview_th.pdf,A short post-1992 interview addressed to Laurence Donohue-Green,
kessel_8,Barney and the Basset: A Snapshot,,1974,"This photo is from apparently from a photo shoot in Sweden with photographer Robert Martin. It include Barney Kessel with his guitar, a basset hound, and a bowl of fruit.",Photo Shoot; Basset Hound; Headshot,,,,LaBudde Special Collections,,Image,image/png,eng,Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/kessel-barney-basset.pdf,/objects/small/kessel-barney-basset_sm.pdf,/objects/thumbs/kessel-barney-basset_th.pdf,Headshot of Barney Kessel with a basset hound,
